Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical
banka,111,"['sng', 49, 'nkeþ', 27, 'nkeo', 15, 'nkee', 8, 'nkfe', 5, 'nkfo', 3, 'sfg3fn', 2, 'sfg1en', 1, 'nkfþ', 1]",banga,1,"['sng', 1]",False,False
kroppa,14,"['sng', 11, 'nkfo', 2, 'sfg3fn', 1]",groppa,1,"['nven', 1]",True,False
kross,101,"['nkeo', 76, 'nken', 23, 'nkeos', 1, 'nkens', 1]",gross,1,"['nheo', 1]",True,False
striki,39,"['nheþ', 39]",strigi,1,"['nken', 1]",True,False
kröm,10,"['nveþ', 7, 'lhfnsf', 1, 'lhfosf', 1, 'nveo', 1]",gröm,4,"['lvensf', 4]",True,False
rík,46,"['lvensf', 41, 'lhfnsf', 4, 'lhfosf', 1]",ríg,1,"['nkeo', 1]",True,False
leikir,19,"['nkfn', 17, 'svg2en', 1, 'lkfnsf', 1]",leigir,18,"['sfg3en', 18]",True,False
ljúka,282,"['sng', 276, 'sfg3fn', 6]",ljúga,125,"['sng', 119, 'sfg3fn', 6]",False,True
tankinn,7,"['nkeog', 7]",tanginn,1,"['nkeng', 1]",True,False
vökur,3,"['nvfn', 3]",vögur,1,"['nvfo', 1]",True,False
leikjum,30,"['nkfþ', 30]",leigjum,2,"['sfg1fn', 2]",True,False
lokuðu,40,"['sfg3fþ', 27, 'lheþsf', 11, 'lveovf', 2]",loguðu,20,"['sfg3fþ', 20]",False,False
lök,12,"['nhfo', 8, 'nhfn', 4]",lög,521,"['nhfo', 279, 'nhfn', 238, 'nven', 1, 'nhfn', 1, 'lhfosf', 1, 'nkeo', 1]",False,False
tak,38,"['nheo', 25, 'nhen', 9, 'sbg2en', 4]",tag,1,"['nhen', 1]",False,False
klappa,59,"['sng', 42, 'sfg3fn', 8, 'nven', 6, 'sfg1en', 1, 'nkeþ', 1, 'nkfe', 1]",glappa,2,"['nhfe', 2]",True,False
lak,71,"['sfg3eþ', 43, 'nheo', 19, 'nhen', 9]",lag,266,"['nheo', 210, 'nhen', 56]",False,False
saka,25,"['nvfe', 15, 'sng', 9, 'sfg3fn', 1]",saga,434,"['nven', 394, 'sng', 28, 'e', 7, 'nvens', 4, 'nvfe', 1]",False,False
arkir,6,"['nvfo', 6]",argir,2,"['lkfnsf', 2]",True,False
klæðum,42,"['nhfþ', 35, 'sfg1fn', 5, 'svg1fn', 2]",glæðum,4,"['nvfþ', 4]",True,False
brakandi,39,"['lkfþof', 15, 'lhfþof', 12, 'lkenof', 7, 'nken', 3, 'nkens', 1, 'lkeovf', 1]",bragandi,1,"['slg', 1]",True,False
keng,17,"['nkeþ', 11, 'nkeo', 6]",geng,120,"['sfg1en', 104, 'lvensf', 15, 'nheo', 1]",True,False
kælir,9,"['sfg3en', 8, 'nken', 1]",gælir,10,"['sfg3en', 10]",False,False
aukna,24,"['lveosf', 18, 'lkfosf', 3, 'lvenvf', 2, 'lhenvf', 1]",augna,22,"['nhfe', 21, 'nhfe', 1]",True,False
kúla,25,"['nven', 19, 'sng', 5, 'nvens', 1]",gúla,1,"['nkeo', 1]",True,False
örk,14,"['nveo', 5, 'nveþ', 3, 'nveþs', 2, 'nven', 2, 'nhfo', 1, 'nveos', 1]",örg,17,"['lvensf', 17]",True,False
koss,28,"['nkeo', 24, 'nken', 4]",goss,5,"['nhee', 5]",True,False
leka,74,"['sng', 41, 'sfg3fn', 14, 'nkeo', 7, 'nkeþ', 5, 'nkfo', 5, 'lheovf', 1, 'nhfe', 1]",lega,63,"['nven', 30, 'nhfe', 19, 'nvfe', 14]",False,False
klöpp,14,"['nveþ', 8, 'nven', 3, 'nhfo', 2, 'nveþs', 1]",glöpp,1,"['nhfn', 1]",True,False
vokir,3,"['sfg3en', 3]",vogir,2,"['nvfo', 1, 'nvfn', 1]",True,False
veikur,145,"['lkensf', 145]",veigur,5,"['nken', 5]",True,False
lækir,13,"['nkfn', 13]",lægir,6,"['sfg3en', 4, 'lkfnsf', 2]",True,False
marka,131,"['sng', 96, 'nhfe', 30, 'sfg3fn', 5]",marga,419,"['lkfosf', 401, 'lveosf', 13, 'lheovf', 5]",True,False
kallinn,86,"['nkeng', 66, 'nkeog', 19, 'nkeogs', 1]",gallinn,26,"['nkeng', 26]",False,False
orka,153,"['nven', 145, 'sng', 4, 'sfg1en', 3, 'sfg3fn', 1]",orga,13,"['sng', 12, 'nhfe', 1]",False,False
