Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical
sentímetrar,9,"['nkfn', 9]",sentimetrar,7,"['nkfn', 7]",False,True
bíddu,253,"['sbg2en', 248, 'au', 4, 'sfg3fþ', 1]",biddu,24,"['sbg2en', 24]",False,False
lími,7,"['nheþ', 4, 'svg3en', 2, 'sfg1en', 1]",limi,5,"['nkfo', 3, 'nkeþ', 1, 'nheþ', 1]",False,False
smíði,24,"['nven', 11, 'nheþ', 5, 'nveo', 3, 'nhfo', 2, 'svg1en', 1, 'nhen', 1, 'nveþ', 1]",smiði,5,"['nkfo', 5]",True,False
níð,18,"['nhen', 11, 'nheo', 4, 'nhfo', 2, 'nhfn', 1]",nið,15,"['nhen', 4, 'nkeo', 3, 'nkeo', 3, 'nheo', 2, 'nkeþ', 2, 'nhfn', 1]",False,False
lýrík,1,"['nven', 1]",lýrik,2,"['nveo', 1, 'nveþ', 1]",True,False
bíta,85,"['sng', 76, 'sfg3fn', 6, 'nkfe', 2, 'nkfo', 1]",bita,120,"['nkfo', 80, 'nkeo', 23, 'nkeþ', 12, 'nkfe', 3, 'sfg1en', 1, 'nkee', 1]",False,False
samstíga,2,"['lkenof', 1, 'lhfnof', 1]",samstiga,8,"['lkfnof', 6, 'lhfnof', 2]",False,False
lítist,9,"['svm3en', 9]",litist,37,"['svm3eþ', 21, 'ssm', 15, 'svm3en', 1]",False,False
bolsévíkar,1,"['nkfn', 1]",bolsévikar,2,"['nkfn', 2]",False,True
stíg,34,"['sfg1en', 15, 'nkeo', 14, 'nkeþ', 3, 'nkeþ', 1, 'nkeos', 1]",stig,90,"['nhfo', 30, 'nheo', 29, 'nhfn', 16, 'nhen', 11, 'nkeo', 2, 'nkeþ', 2]",False,False
fríða,14,"['nvens', 6, 'lkeþvf', 3, 'lhenvf', 1, 'lkfosf', 1, 'lveosf', 1, 'nvfe', 1, 'nven', 1]",friða,12,"['sng', 12]",True,False
gríð,22,"['nveþ', 19, 'nveo', 2, 'nven', 1]",grið,21,"['nhfo', 15, 'nhfn', 5, 'nheng', 1]",True,False
síðum,57,"['nvfþ', 45, 'lkeþsf', 8, 'lvfþsf', 2, 'lkfþsf', 1, 'aa', 1]",siðum,21,"['nkfþ', 12, 'nhfþ', 9]",True,False
bolsévíka,5,"['nkfe', 2, 'nkfo', 2, 'nkeþ', 1]",bolsévika,4,"['nkfe', 3, 'nkfo', 1]",False,False
bíði,36,"['svg3en', 22, 'svg3fn', 10, 'svg1en', 4]",biði,81,"['svg3eþ', 74, 'svg1eþ', 7]",True,False
kirkjusmíð,1,"['nveo', 1]",kirkjusmið,1,"['nkeo', 1]",True,False
síða,39,"['nven', 16, 'lheovf', 11, 'lveosf', 4, 'lhenvf', 2, 'lkfosf', 2, 'aa', 2, 'lvenvf', 1, 'lheþvf', 1]",siða,5,"['sng', 3, 'nhfe', 2]",True,False
sítt,69,"['lheosf', 50, 'lhensf', 19]",sitt,1961,"['feheo', 1942, 'fehen', 19]",True,False
dís,4,"['nhee', 1, 'nveþ', 1, 'nhen', 1, 'nveo', 1]",dis,1,"['nhen', 1]",False,False
hlíðina,47,"['nveog', 47]",hliðina,477,"['nveog', 477]",False,True
níða,4,"['sng', 3, 'sfg3fn', 1]",niða,3,"['nhfe', 1, 'nkfe', 1, 'sfg3fn', 1]",False,False
sentímetra,17,"['nkfe', 9, 'nkfo', 6, 'nkeo', 2]",sentimetra,15,"['nkfe', 7, 'nkfo', 7, 'nkeo', 1]",False,True
hlíðarnar,15,"['nvfog', 10, 'nvfng', 5]",hliðarnar,15,"['nvfog', 11, 'nvfng', 4]",False,True
ríðandi,47,"['slg', 39, 'nken', 7, 'lkfþsf', 1]",riðandi,4,"['slg', 4]",False,False
líst,119,"['sfm3en', 118, 'ssg', 1]",list,134,"['nveo', 54, 'nveþ', 47, 'nven', 31, 'e', 2]",True,False
hnípin,12,"['lvensf', 10, 'lhfnsf', 2]",hnipin,1,"['lhfosf', 1]",True,False
tíndi,57,"['sfg3eþ', 47, 'sfg1eþ', 9, 'svg3eþ', 1]",tindi,5,"['nkeþ', 3, 'nkeþs', 2]",True,False
bíð,56,"['sfg1en', 56]",bið,216,"['sfg1en', 142, 'nven', 38, 'nveo', 26, 'nveþ', 10]",False,False
pítsu,6,"['nveo', 5, 'nveþ', 1]",pitsu,7,"['nveo', 6, 'nvee', 1]",False,False
bíðum,51,"['sfg1fn', 49, 'svg1fn', 2]",biðum,64,"['sfg1fþ', 63, 'nvfþ', 1]",True,False
víni,63,"['nheþ', 62, 'nheþs', 1]",vini,373,"['nkfo', 255, 'nkeþ', 117, 'svg3fn', 1]",True,False
hvín,10,"['sfg3en', 8, 'sfg1en', 2]",hvin,5,"['nkeþ', 3, 'nheo', 2]",True,False
skíta,20,"['sng', 16, 'sfg3fn', 4]",skita,2,"['nven', 2]",True,False
líð,3,"['sfg1en', 1, 'nhen', 1, 'nheo', 1]",lið,209,"['nheo', 155, 'nhen', 26, 'nkeþ', 13, 'x', 6, 'nkeo', 4, 'nhfn', 3, 'nhfo', 2]",False,False
rímar,6,"['sfg3en', 6]",rimar,3,"['nkfn', 2, 'nkfns', 1]",True,False
stíll,22,"['nken', 22]",still,1,"['e', 1]",True,False
tröllríða,2,"['sng', 2]",tröllriða,1,"['nven', 1]",True,False
víðari,16,"['lveovm', 9, 'lhfnvm', 4, 'lkeovm', 2, 'lvfovm', 1]",viðari,26,"['nkeþs', 26]",True,False
