Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical,Min freq
brotinn,37,"['lkensf', 33, 'lkeosf', 4]",brotin,63,"['lvensf', 21, 'nhfog', 17, 'sþghfn', 11, 'nhfng', 9, 'lhfnsf', 3, 'lhfosf', 2]",TRUE,FALSE,37
brunann,18,"['nkeog', 18]",brunan,1,"['x', 1]",TRUE,FALSE,1
brunna,9,"['lveosf', 3, 'nkfe', 2, 'lheþvf', 1, 'nkfos', 1, 'nkfo', 1, 'lkeþvf', 1]",bruna,50,"['nkeo', 13, 'sng', 13, 'nkeþ', 9, 'nkfe', 9, 'sfg1en', 3, 'nven', 2, 'nkee', 1]",FALSE,FALSE,9
brunnar,8,"['lvfnsf', 3, 'nkfn', 3, 'lvfosf', 2]",brunar,13,"['sfg3en', 11, 'nkfn', 2]",FALSE,FALSE,8
brunni,18,"['nkeþ', 18]",bruni,6,"['nken', 4, 'nkens', 2]",TRUE,FALSE,6
brunnið,47,"['ssg', 34, 'lhensf', 11, 'lheosf', 2]",brunið,1,"['nheng', 1]",TRUE,FALSE,1
brunninn,22,"['nkeog', 22]",brunnin,5,"['lvensf', 5]",TRUE,FALSE,5
brunnum,5,"['nkfþ', 5]",brunum,5,"['sfg1fn', 4, 'nkfþ', 1]",FALSE,FALSE,5
brunnunum,4,"['nkfþg', 4]",brununum,1,"['nkfþg', 1]",FALSE,TRUE,1
brúnn,36,"['lkensf', 36]",brún,150,"['nveo', 70, 'nveþ', 27, 'lhfosf', 19, 'lhfnsf', 16, 'nven', 9, 'lvensf', 6, 'lvensf', 2, 'nveos', 1]",TRUE,FALSE,36
brúnna,1,"['lhenvm', 1]",brúna,74,"['nveog', 49, 'lveosf', 6, 'lkeovf', 3, 'lhenvf', 3, 'lkeþvf', 3, 'sng', 3, 'lheþvf', 2, 'lvenvf', 2, 'nvfe', 2, 'sfg3fn', 1]",TRUE,FALSE,1
brúnni,39,"['nveþg', 30, 'lveþsf', 9]",brúni,4,"['lkenvf', 4]",TRUE,FALSE,4
brúsanna,1,"['nkfeg', 1]",brúsana,2,"['nkfog', 2]",TRUE,FALSE,1
brýnna,6,"['lhenvm', 3, 'lkfesf', 1, 'lhfesf', 1, 'lheovm', 1]",brýna,35,"['sng', 21, 'lveosf', 7, 'sfg3fn', 4, 'nven', 1, 'nvfe', 1, 'lvenvf', 1]",TRUE,FALSE,6
brýnnar,28,"['x', 15, 'nvfog', 13]",brýnar,1,"['nkfn', 1]",TRUE,FALSE,1
brýnni,13,"['lveþsf', 5, 'lvenvm', 5, 'lkfþvm', 1, 'lkeovm', 1, 'lhfovm', 1]",brýni,2,"['svg3en', 1, 'nheþ', 1]",TRUE,FALSE,2
bundinn,100,"['sþgken', 55, 'lkensf', 40, 'lkeosf', 5]",bundin,95,"['sþgven', 65, 'lvensf', 19, 'sþghfn', 9, 'lhfnsf', 1, 'lhfosf', 1]",TRUE,FALSE,95
búðinn,1,"['nkeng', 1]",búðin,20,"['nveng', 20]",TRUE,FALSE,1
búinn,2174,"['lkensf', 2162, 'sþgken', 9, 'nkeng', 2, 'lkeosf', 1]",búin,1744,"['lvensf', 1433, 'lhfnsf', 270, 'sþgven', 17, 'x', 11, 'sþghfn', 7, 'nhfog', 5, 'as', 1]",TRUE,FALSE,1744
bústinn,3,"['lkensf', 3]",bústin,10,"['lvensf', 7, 'lhfnsf', 2, 'lhfosf', 1]",TRUE,FALSE,3
byrginn,7,"['nkeog', 7]",byrgin,4,"['nhfog', 3, 'nhfng', 1]",TRUE,FALSE,4
böðlanna,1,"['nkfeg', 1]",böðlana,1,"['nkfog', 1]",TRUE,FALSE,1
böllinn,1,"['nkeog', 1]",böllin,8,"['nhfog', 7, 'nhfng', 1]",TRUE,FALSE,1
bönnum,7,"['nhfþ', 6, 'sfg1fn', 1]",bönum,1,"['nkfþ', 1]",TRUE,FALSE,1
daganna,16,"['nkfeg', 12, 'x', 4]",dagana,247,"['nkfog', 247]",TRUE,FALSE,16
danna,7,"['e', 4, 'nkeþs', 2, 'nkeos', 1]",dana,52,"['nkfes', 50, 'nvens', 2]",TRUE,FALSE,7
danni,20,"['nkens', 20]",dani,29,"['nkfos', 20, 'nkens', 6, 'e', 2, 'nkfo', 1]",FALSE,FALSE,20
dansaranna,3,"['nkfeg', 3]",dansarana,1,"['nkfog', 1]",TRUE,FALSE,1
dauðadrukkinn,5,"['lkensf', 4, 'lkeosf', 1]",dauðadrukkin,5,"['lvensf', 4, 'lhfnsf', 1]",TRUE,FALSE,5
dauðann,116,"['nkeog', 116]",dauðan,16,"['lkeosf', 16]",TRUE,FALSE,16
dauðfeginn,13,"['lkensf', 13]",dauðfegin,18,"['lvensf', 17, 'lhfnsf', 1]",TRUE,FALSE,13
dauðuppgefinn,2,"['lkensf', 2]",dauðuppgefin,2,"['lvensf', 2]",TRUE,FALSE,2
daunn,9,"['nken', 9]",daun,6,"['nkeo', 6]",TRUE,FALSE,6
dáinn,120,"['lkensf', 114, 'lkeosf', 6]",dáin,89,"['lvensf', 71, 'lhfnsf', 16, 'lhfosf', 2]",TRUE,FALSE,89
dátanna,2,"['nkfeg', 2]",dátana,3,"['nkfog', 3]",TRUE,FALSE,2
dofinn,23,"['lkensf', 17, 'nkeng', 6]",dofin,10,"['lvensf', 9, 'lhfnsf', 1]",TRUE,FALSE,10
dolfallinn,16,"['lkensf', 16]",dolfallin,12,"['lvensf', 10, 'lhfnsf', 2]",TRUE,FALSE,12
dottinn,36,"['lkensf', 29, 'nkeng', 7]",dottin,21,"['sþgven', 18, 'lvensf', 2, 'lhfnsf', 1]",TRUE,FALSE,21
dómaranna,2,"['nkfeg', 2]",dómarana,3,"['nkfog', 3]",TRUE,FALSE,2
dópistanna,1,"['nkfeg', 1]",dópistana,2,"['nkfog', 2]",TRUE,FALSE,1
dragfínn,1,"['lkensf', 1]",dragfín,1,"['lvensf', 1]",TRUE,FALSE,1
draumanna,6,"['nkfeg', 6]",draumana,20,"['nkfog', 20]",TRUE,FALSE,6
dreginn,45,"['sþgken', 44, 'lkensf', 1]",dregin,83,"['sþgven', 64, 'sþghfn', 16, 'lhfnsf', 2, 'lvensf', 1]",TRUE,FALSE,45
drekkhlaðinn,2,"['lkensf', 2]",drekkhlaðin,1,"['lhfnsf', 1]",TRUE,FALSE,1
drepinn,35,"['sþgken', 32, 'lkensf', 3]",drepin,10,"['sþghfn', 8, 'lvensf', 2]",TRUE,FALSE,10
dreyminn,11,"['lkensf', 10, 'lkeosf', 1]",dreymin,15,"['lvensf', 15]",TRUE,FALSE,11
drifinn,8,"['sþgken', 6, 'lkensf', 2]",drifin,7,"['sþghfn', 4, 'sþgven', 2, 'lvensf', 1]",TRUE,FALSE,7
drottinn,152,"['nken', 81, 'nkens', 65, 'nkeng', 6]",drottin,15,"['nkeos', 8, 'nkeo', 7]",TRUE,FALSE,15
