Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical
máta,83,"['nkeo', 39, 'sng', 26, 'nkeþ', 12, 'sfg1en', 2, 'nhfe', 2, 'nkfo', 2]",mata,17,"['sng', 8, 'nven', 6, 'nkfo', 3]",False,False
hári,90,"['nheþ', 88, 'svg3en', 1, 'svg3fn', 1]",hari,10,"['e', 10]",True,False
kapellán,1,"['nken', 1]",kapellan,6,"['nveng', 6]",True,False
háska,15,"['nkeþ', 9, 'nkeo', 2, 'nkeþs', 1, 'nkfe', 1, 'nkfo', 1, 'nkee', 1]",haska,15,"['sng', 14, 'sfg3fn', 1]",True,False
spár,5,"['nvfn', 4, 'nvfo', 1]",spar,6,"['lkensf', 5, 'lvfosf', 1]",True,False
báli,26,"['nheþ', 25, 'svg3en', 1]",bali,1,"['nken', 1]",True,False
káli,8,"['nheþ', 8]",kali,4,"['nheþ', 4]",False,True
dár,4,"['nheo', 4]",dar,1,"['nhen', 1]",True,False
dátt,18,"['aa', 18]",datt,509,"['sfg3eþ', 470, 'sfg1eþ', 38, 'sfg2eþ', 1]",True,False
mátar,24,"['nkfn', 18, 'sfg3en', 6]",matar,37,"['nkee', 27, 'sfg3en', 6, 'nkfþ', 4]",False,False
kál,5,"['nhen', 3, 'nheo', 2]",kal,15,"['nhen', 13, 'nheo', 2]",False,True
sátt,100,"['lvensf', 31, 'nveþ', 27, 'nveo', 25, 'nven', 7, 'lhensf', 6, 'lhfnsf', 3, 'lheosf', 1]",satt,757,"['lhensf', 432, 'lheosf', 321, 'ssg', 4]",False,False
trássi,12,"['nheþ', 12]",trassi,1,"['nken', 1]",True,False
glápti,23,"['sfg3eþ', 21, 'sfg1eþ', 2]",glapti,1,"['sfg3eþ', 1]",False,False
skála,60,"['sng', 28, 'nkeþ', 12, 'nkee', 6, 'sfg3fn', 3, 'nkeo', 3, 'sfg1en', 2, 'nkfo', 2, 'nkeþs', 1, 'nkeos', 1, 'nhees', 1, 'nkfe', 1]",skala,11,"['nkeþ', 5, 'x', 3, 'nkfo', 2, 'nkeo', 1]",False,False
kála,15,"['sng', 15]",kala,6,"['nkeo', 3, 'nkeþ', 2, 'nkeos', 1]",True,False
skáka,6,"['sng', 5, 'sfg3fn', 1]",skaka,2,"['sng', 2]",False,False
andrá,112,"['nveþ', 105, 'nveo', 5, 'nven', 2]",andra,46,"['nvens', 12, 'nkeþs', 12, 'nkeos', 9, 'nkees', 9, 'sng', 2, 'sfg3fn', 1, 'nkeo', 1]",True,False
fárast,7,"['snm', 6, 'sfm3fn', 1]",farast,50,"['snm', 37, 'sfm3fn', 13]",False,True
hátti,2,"['svg3fn', 2]",hatti,8,"['nkeþ', 8]",True,False
óráði,10,"['nheþ', 10]",óraði,16,"['sfg3eþ', 16]",True,False
málaði,63,"['sfg3eþ', 54, 'sfg1eþ', 6, 'svg3eþ', 3]",malaði,17,"['sfg3eþ', 17]",False,False
gállinn,19,"['nkeng', 19]",gallinn,26,"['nkeng', 26]",False,True
málaður,18,"['lkensf', 18]",malaður,2,"['lkensf', 2]",False,True
klára,101,"['sng', 81, 'sfg1en', 3, 'sfg3fn', 3, 'nkeþ', 3, 'lkfosf', 2, 'nkfo', 2, 'lveosf', 2, 'nven', 2, 'lvenvf', 1, 'lhenvf', 1, 'nkee', 1]",klara,56,"['nvens', 56]",True,False
hátta,40,"['sng', 31, 'nkfe', 6, 'sfg1en', 2, 'sfg3fn', 1]",hatta,18,"['nkfo', 14, 'nkfe', 3, 'sng', 1]",False,False
hrátt,13,"['lheosf', 8, 'lhensf', 5]",hratt,370,"['aa', 358, 'lhensf', 5, 'sfg3eþ', 4, 'lheosf', 2, 'sfg1eþ', 1]",False,False
mágur,29,"['nken', 29]",magur,1,"['lkensf', 1]",True,False
mátaði,16,"['sfg3eþ', 12, 'sfg1eþ', 4]",mataði,5,"['sfg3eþ', 5]",False,False
sáuð,11,"['sfg2fþ', 11]",sauð,30,"['sfg3eþ', 16, 'nkeo', 10, 'nkeþ', 3, 'sfg1eþ', 1]",True,False
