Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical
þaggað,5,"['ssg', 3, 'lhensf', 2]",þagað,30,"['ssg', 24, 'lhensf', 6]",False,True
vaggandi,4,"['slg', 4]",vagandi,2,"['slg', 2]",False,True
löggunum,4,"['nkfþg', 2, 'nvfþg', 2]",lögunum,56,"['nhfþg', 55, 'nkfþg', 1]",False,False
daggar,3,"['nvee', 2, 'nvees', 1]",dagar,193,"['nkfn', 188, 'e', 5]",True,False
legginn,4,"['nkeog', 4]",leginn,2,"['lkensf', 2]",True,False
austurvegginn,2,"['nkeog', 2]",austurveginn,1,"['nkeog', 1]",False,True
sagga,5,"['nkeþ', 5]",saga,434,"['nven', 394, 'sng', 28, 'e', 7, 'nvens', 4, 'nvfe', 1]",True,False
hugguð,1,"['lvensf', 1]",huguð,2,"['lvensf', 2]",False,True
hliðarvegg,1,"['nkeþ', 1]",hliðarveg,2,"['nkeo', 2]",True,False
flaggið,4,"['nheng', 3, 'nheog', 1]",flagið,1,"['nheog', 1]",False,False
dyggðirnar,1,"['nvfog', 1]",dygðirnar,2,"['nvfog', 1, 'nvfng', 1]",False,False
milliveggur,1,"['nken', 1]",millivegur,1,"['nken', 1]",False,True
dugga,1,"['sng', 1]",duga,114,"['sng', 85, 'sfg3fn', 28, 'sbg2en', 1]",False,False
flaggi,2,"['nheþ', 2]",flagi,3,"['nheþ', 3]",False,True
föggunum,1,"['nkfþg', 1]",fögunum,2,"['nhfþg', 2]",True,False
höggnu,1,"['lvfþvf', 1]",högnu,2,"['nveþs', 1, 'nvees', 1]",True,False
dyggða,2,"['nvfe', 2]",dygða,2,"['nvfe', 2]",False,True
löggin,1,"['nveng', 1]",lögin,139,"['nhfog', 72, 'nhfng', 67]",True,False
eyðilegg,2,"['sfg1en', 2]",eyðileg,2,"['lvensf', 1, 'lhfosf', 1]",True,False
plaggi,1,"['nheþ', 1]",plagi,1,"['svg3en', 1]",True,False
tuggum,1,"['nvfþ', 1]",tugum,42,"['nkfþ', 42]",True,False
vöggur,2,"['nvfn', 1, 'nkens', 1]",vögur,1,"['nvfo', 1]",True,False
plagga,1,"['nhfe', 1]",plaga,5,"['sng', 3, 'sfg3fn', 2]",True,False
