Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical,Min freq
skrýtið,273,"['lhensf', 270, 'lheosf', 3]",skrítið,82,"['lhensf', 79, 'lheosf', 3]",FALSE,TRUE,82
skrýtilega,7,"['aa', 6, 'lvenvf', 1]",skrítilega,4,"['aa', 4]",FALSE,FALSE,4
skrýtin,59,"['lvensf', 54, 'lhfosf', 3, 'lhfnsf', 2]",skrítin,25,"['lvensf', 19, 'lhfnsf', 3, 'lhfosf', 3]",FALSE,TRUE,25
skrýtinn,43,"['lkensf', 41, 'lkeosf', 2]",skrítinn,18,"['lkensf', 15, 'lkeosf', 3]",FALSE,TRUE,18
skrýtlum,1,"['nvfþ', 1]",skrítlum,1,"['nvfþ', 1]",FALSE,TRUE,1
skrýtna,31,"['lveosf', 8, 'lvenvf', 7, 'lhenvf', 4, 'lkeþvf', 3, 'lkfosf', 2, 'lheþvf', 2, 'lheovf', 2, 'lkeovf', 2, 'lkeevf', 1]",skrítna,6,"['lhenvf', 2, 'lkeovf', 1, 'lkeþvf', 1, 'lheovf', 1, 'lheþvf', 1]",FALSE,FALSE,6
skrýtnar,17,"['lvfosf', 10, 'lvfnsf', 7]",skrítnar,3,"['lvfnsf', 2, 'lvfosf', 1]",FALSE,TRUE,3
skrýtnari,3,"['lvenvm', 2, 'lkenvm', 1]",skrítnari,1,"['lhfþvm', 1]",TRUE,FALSE,1
skrýtnasta,2,"['lhenve', 1, 'lheove', 1]",skrítnasta,3,"['lhenve', 2, 'lvenve', 1]",FALSE,FALSE,2
skrýtni,4,"['lkenvf', 4]",skrítni,1,"['lkenvf', 1]",FALSE,TRUE,1
skrýtnir,6,"['lkfnsf', 6]",skrítnir,8,"['lkfnsf', 8]",FALSE,TRUE,6
skrýtnu,24,"['lheþsf', 15, 'lkfþvf', 3, 'lveþvf', 2, 'lhfþvf', 2, 'lveovf', 1, 'lhfovf', 1]",skrítnu,1,"['lheþsf', 1]",FALSE,FALSE,1
skrýtnum,9,"['lvfþsf', 4, 'lhfþsf', 2, 'lkeþsf', 2, 'lkfþsf', 1]",skrítnum,4,"['lvfþsf', 2, 'lkfþsf', 1, 'lhfþsf', 1]",FALSE,FALSE,4
skýr,75,"['lkensf', 24, 'lhfosf', 18, 'lvensf', 17, 'lhfnsf', 16]",skír,1,"['lhfosf', 1]",FALSE,FALSE,1
skýra,185,"['sng', 164, 'lveosf', 18, 'sfg3fn', 2, 'lvenvf', 1]",skíra,49,"['sng', 47, 'sfg3fn', 1, 'lhenvf', 1]",FALSE,FALSE,49
skýrara,13,"['lheþvm', 7, 'lhenvm', 6]",skírara,11,"['lhenvm', 5, 'nkee', 3, 'nkeþ', 2, 'lheþvm', 1]",FALSE,FALSE,11
skýrari,22,"['lkenvm', 11, 'lvenvm', 7, 'lhfovm', 2, 'lvfovm', 1, 'lkeovm', 1]",skírari,4,"['nken', 3, 'lkenvm', 1]",FALSE,FALSE,4
skýrast,25,"['aae', 10, 'snm', 9, 'sfm3fn', 6]",skírast,5,"['sfm3fn', 4, 'snm', 1]",FALSE,FALSE,5
skýrð,8,"['sþghfn', 5, 'lvensf', 3]",skírð,23,"['sþgven', 21, 'lhfnsf', 2]",TRUE,FALSE,8
skýrðar,3,"['lvfnsf', 3]",skírðar,1,"['lvfnsf', 1]",FALSE,TRUE,1
skýrði,116,"['sfg3eþ', 103, 'sfg1eþ', 13]",skírði,10,"['sfg3eþ', 8, 'sfg1eþ', 2]",FALSE,TRUE,10
skýrðist,9,"['sfm3eþ', 9]",skírðist,2,"['sfm1eþ', 1, 'sfm3eþ', 1]",FALSE,FALSE,2
skýrðu,7,"['sfg3fþ', 6, 'sbg2en', 1]",skírðu,1,"['sfg3fþ', 1]",FALSE,FALSE,1
skýrður,1,"['sþgken', 1]",skírður,27,"['sþgken', 18, 'lkensf', 9]",FALSE,FALSE,1
skýri,5,"['svg3en', 4, 'sfg1en', 1]",skíri,5,"['sfg1en', 4, 'svg3fn', 1]",FALSE,FALSE,5
skýrir,34,"['sfg3en', 29, 'lkfnsf', 4, 'svg2en', 1]",skírir,1,"['sfg3en', 1]",FALSE,FALSE,1
skýrist,15,"['sfm3en', 15]",skírist,1,"['sfm3en', 1]",FALSE,TRUE,1
skýrleik,1,"['nkeo', 1]",skírleik,1,"['nkeo', 1]",FALSE,TRUE,1
skýrri,8,"['lveþsf', 8]",skírri,1,"['lveþsf', 1]",FALSE,TRUE,1
skýrslu,143,"['nveo', 102, 'nveþ', 35, 'nvee', 6]",skírslu,2,"['nvee', 2]",FALSE,FALSE,2
skýrt,253,"['aa', 162, 'ssg', 51, 'sþghen', 28, 'lhensf', 11, 'lheosf', 1]",skírt,8,"['ssg', 6, 'sþghen', 2]",FALSE,FALSE,8
skýru,11,"['lheþsf', 10, 'lvfnvf', 1]",skíru,1,"['lveþvf', 1]",TRUE,FALSE,1
skýt,17,"['sfg1en', 17]",skít,100,"['nkeo', 57, 'nkeþ', 25, 'sfg1en', 17, 'nkeo', 1]",FALSE,FALSE,17
skýtur,55,"['sfg3en', 49, 'sfg2en', 6]",skítur,11,"['nken', 7, 'sfg3en', 4]",FALSE,FALSE,11
spýtt,8,"['ssg', 5, 'lhensf', 2, 'lvensf', 1]",spítt,1,"['nhen', 1]",TRUE,FALSE,1
spýtti,17,"['sfg1eþ', 10, 'sfg3eþ', 6, 'lkenvf', 1]",spítti,5,"['nheþ', 5]",TRUE,FALSE,5
