Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical,Min freq
árnar,13,"['nvfng', 7, 'nvfog', 6]",arnar,280,"['nkens', 169, 'nkeos', 48, 'nkees', 34, 'nken', 13, 'nkfn', 5, 'nkfn', 4, 'nvfng', 3, 'nvee', 3, 'nkee', 1]",False,False,
gát,30,"['nveþ', 19, 'nheo', 5, 'nveo', 4, 'nven', 2]",gat,3809,"['sfg3eþ', 2862, 'sfg1eþ', 881, 'nheo', 40, 'nhen', 21, 'nhens', 5]",False,False,
másandi,49,"['slg', 48, 'lkfevf', 1]",masandi,3,"['slg', 2, 'lvfevf', 1]",False,False,
mátið,33,"['nheog', 33]",matið,7,"['nheng', 4, 'nheog', 3]",False,False,
lást,6,"['sfg2eþ', 6]",last,10,"['e', 5, 'nhen', 2, 'nheo', 1, 'sfg2eþ', 1, 'ssm', 1]",False,False,
flátt,1,"['lhensf', 1]",flatt,65,"['aa', 38, 'lheosf', 15, 'lhensf', 9, 'ssg', 3]",False,False,
fár,16,"['lkensf', 13, 'nhen', 2, 'nheo', 1]",far,151,"['nheo', 121, 'e', 11, 'nhen', 9, 'sbg2en', 4, 'nkfn', 2, 'nheos', 2, 'lvenof', 1, 'lhenof', 1]",False,False,
mága,1,"['nkfo', 1]",maga,104,"['nkeþ', 58, 'nkeo', 38, 'nkfo', 2, 'nkee', 2, 'nvfe', 1, 'nhens', 1, 'nven', 1, 'nkfe', 1]",False,False,
áti,2,"['nheþ', 2]",ati,3,"['nheþ', 2, 'svg3en', 1]",False,False,
brák,3,"['nheo', 1, 'nven', 1, 'nhen', 1]",brak,24,"['nhen', 19, 'nheo', 5]",False,False,
háttaði,8,"['sfg3eþ', 7, 'sfg1eþ', 1]",hattaði,1,"['sfg3eþ', 1]",False,False,
bára,25,"['nvens', 21, 'nvfes', 2, 'sng', 1, 'nvfe', 1]",bara,12309,"['aa', 12247, 'nkeo', 22, 'nkeþ', 20, 'sng', 6, 'nhfe', 5, 'nkee', 3, 'nkeo', 2, 'x', 1, 'nkfe', 1, 'nkfe', 1, 'nvfe', 1]",False,False,
ráðhús,4,"['nhen', 2, 'nheo', 2]",raðhús,9,"['nheo', 5, 'nhfn', 2, 'nhfo', 1, 'nhen', 1]",False,False,
gáta,14,"['nven', 12, 'nvfe', 1, 'sng', 1]",gata,23,"['nven', 17, 'sng', 5, 'sfg3fn', 1]",False,False,
fáti,20,"['nheþ', 20]",fati,8,"['nheþ', 7, 'svg3en', 1]",False,False,
básinn,8,"['nkeog', 6, 'nkeng', 2]",basinn,1,"['nkeng', 1]",False,False,
táli,2,"['nheþ', 2]",tali,225,"['nheþ', 160, 'svg3en', 34, 'svg1en', 18, 'svg3fn', 13]",False,False,
mása,27,"['nkeo', 23, 'nven', 1, 'sfg3fn', 1, 'sng', 1, 'sfg1en', 1]",masa,11,"['sng', 9, 'sfg3fn', 1, 'sfg1en', 1]",False,False,
álinn,2,"['nkeog', 2]",alinn,49,"['sþgken', 29, 'lkensf', 19, 'nkeog', 1]",False,False,
látir,6,"['svg2en', 4, 'lkfnsf', 2]",latir,8,"['lkfnsf', 8]",False,False,
káfa,11,"['sng', 10, 'sfg3fn', 1]",kafa,20,"['sng', 17, 'nkeþ', 3]",False,False,
fjárnám,1,"['nhen', 1]",fjarnám,3,"['nheo', 2, 'nhen', 1]",False,False,
lindá,4,"['nven', 3, 'nveo', 1]",linda,138,"['nvens', 128, 'nven', 4, 'nvfe', 3, 'nkeo', 1, 'nkeþ', 1, 'nvfes', 1]",False,False,
átið,1,"['nheng', 1]",atið,2,"['nheog', 1, 'nheng', 1]",False,False,
sála,16,"['nven', 16]",sala,22,"['nven', 18, 'nkeþ', 2, 'nhfe', 1, 'nkfo', 1]",False,False,
rásandi,1,"['slg', 1]",rasandi,3,"['slg', 2, 'lkensf', 1]",False,False,
fáta,1,"['sng', 1]",fata,22,"['sng', 10, 'nhfe', 6, 'nvfe', 4, 'nvee', 1, 'nven', 1]",False,False,
máti,1,"['nheþ', 1]",mati,108,"['nheþ', 105, 'svg3en', 2, 'svg1en', 1]",False,False,
fárið,2,"['nheog', 2]",farið,2831,"['ssg', 1936, 'sþghen', 824, 'sfg2fn', 41, 'sbg2fn', 19, 'nheog', 7, 'nheng', 2, 'lhensf', 1, 'x', 1]",False,False,
hála,3,"['lveosf', 1, 'nkeþ', 1, 'lheovf', 1]",hala,66,"['nkeþ', 29, 'nkeþs', 16, 'nkeo', 13, 'sng', 5, 'nkfo', 2, 'nkeos', 1]",False,False,
más,8,"['nkees', 7, 'x', 1]",mas,10,"['nheo', 5, 'au', 3, 'x', 1, 'nhen', 1]",False,False,
fári,1,"['nheþ', 1]",fari,483,"['svg3en', 251, 'nheþ', 104, 'svg3fn', 78, 'svg1en', 44, 'nheþs', 4, 'nheo', 2]",False,False,
mási,4,"['nken', 3, 'nheþ', 1]",masi,4,"['nheþ', 3, 'svg3fn', 1]",False,False,
ráðhúsið,5,"['nheog', 3, 'nhengs', 1, 'nheng', 1]",raðhúsið,2,"['nheog', 1, 'nheng', 1]",False,False,
káfar,2,"['sfg3en', 2]",kafar,4,"['sfg3en', 2, 'nvee', 2]",False,False,
féll,407,"['sfg3eþ', 387, 'sfg1eþ', 20]",fell,8,"['sfg1en', 3, 'nhfn', 1, 'sfg3eþ', 1, 'nhen', 1, 'sfg1en', 1, 'nhens', 1]",False,False,
prédika,15,"['sng', 13, 'sfg3fn', 2]",predika,13,"['sng', 11, 'sbg2en', 1, 'sfg1en', 1]",False,False,
réttu,261,"['lheþsf', 126, 'sfg3fþ', 43, 'lhfovf', 31, 'lveovf', 21, 'sbg2en', 9, 'lveþvf', 7, 'lhfnvf', 6, 'nveþ', 6, 'lvfþvf', 4, 'lhfþvf', 2, 'nveo', 2, 'lkfþvf', 2, 'lkfevf', 1, 'lvfnvf', 1]",rettu,8,"['nveþ', 5, 'nveo', 3]",False,False,
sést,305,"['sfm3en', 259, 'ssm', 43, 'sfm1en', 2, 'sfg3en', 1]",sest,486,"['sfm3en', 223, 'ssm', 162, 'sþmhen', 57, 'sfm1en', 26, 'sþmven', 7, 'lhensf', 5, 'sfm2en', 4, 'lhfnsf', 1, 'lvensf', 1]",False,False,
sléttur,22,"['lkensf', 20, 'nvfo', 2]",slettur,29,"['nvfo', 20, 'nvfn', 8, 'nvfns', 1]",False,False,
vél,116,"['nveo', 41, 'nven', 40, 'nveþ', 21, 'nhfo', 7, 'nheo', 5, 'nhen', 2]",vel,5066,"['aa', 5055, 'sfg1en', 3, 'au', 3, 'nveo', 2, 'nhfo', 2, 'nven', 1]",False,False,
té,31,"['nheo', 30, 'x', 1]",te,105,"['nheo', 88, 'nhen', 17]",False,False,
þétta,11,"['sng', 5, 'lhenvf', 1, 'lveosf', 1, 'nkeþ', 1, 'nkfo', 1, 'lvenvf', 1, 'nkeo', 1]",þetta,23070,"['fahen', 15281, 'faheo', 7725, 'nkfo', 34, 'sng', 22, 'nven', 5, 'aa', 2, 'lhenvf', 1]",False,False,
étnar,3,"['lvfnsf', 2, 'lvfosf', 1]",etnar,1,"['lvfnsf', 1]",False,False,
étið,41,"['ssg', 35, 'lhensf', 3, 'sbg2fn', 1, 'sfg2fn', 1, 'lheosf', 1]",etið,9,"['ssg', 5, 'sþghen', 3, 'lheosf', 1]",False,False,
éta,196,"['sng', 173, 'sfg3fn', 23]",eta,8,"['sng', 5, 'as', 2, 'sfg3fn', 1]",False,False,
sléttu,17,"['nveþ', 9, 'lheþsf', 4, 'svg3fþ', 1, 'sfg3fþ', 1, 'nveo', 1, 'nvee', 1]",slettu,9,"['sfg3fþ', 5, 'nveþ', 4]",False,False,
kortér,9,"['nheo', 7, 'nhen', 1, 'nhfn', 1]",korter,38,"['nheo', 17, 'nhen', 16, 'nhfo', 5]",False,False,
fléttu,12,"['nveo', 7, 'nveþ', 3, 'sfg3fþ', 2]",flettu,12,"['sfg3fþ', 10, 'nveþ', 2]",False,False,
sléttum,19,"['nvfþ', 11, 'lkeþsf', 5, 'lkfþsf', 2, 'svg1fn', 1]",slettum,24,"['nvfþ', 19, 'svg1fþ', 3, 'sfg1fþ', 2]",False,False,
étur,31,"['sfg3en', 27, 'sfg2en', 4]",etur,4,"['sfg3en', 3, 'nvfn', 1]",False,False,
spásséra,7,"['sng', 6, 'sfg3fn', 1]",spássera,2,"['sng', 2]",False,False,
slétt,61,"['lvensf', 23, 'lhensf', 18, 'lheosf', 11, 'ssg', 4, 'lhfnsf', 3, 'lhfosf', 2]",slett,7,"['ssg', 7]",False,False,
