Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical,Min freq
sálir,28,"['nvfo', 15, 'nvfn', 13]",salir,2,"['nkfn', 2]",True,False,
ánna,9,"['nveog', 5, 'nvfeg', 4]",anna,228,"['nvens', 198, 'nvfe', 19, 'sng', 9, 'sfg3fn', 1, 'sbg2en', 1]",True,False,
pára,7,"['sng', 7]",para,10,"['nhfe', 9, 'nven', 1]",True,False,
hrákinn,3,"['nkeng', 3]",hrakinn,9,"['lkensf', 5, 'sþgken', 4]",True,False,
ráðir,1,"['svg2en', 1]",raðir,38,"['nvfo', 23, 'nvfn', 15]",True,False,
árni,310,"['nkens', 309, 'nken', 1]",arni,7,"['nkeþ', 7]",True,False,
vangá,6,"['nveþ', 5, 'nven', 1]",vanga,94,"['nkeo', 35, 'nkeþ', 22, 'sng', 17, 'nkfo', 17, 'sfg3fn', 2, 'nkee', 1]",True,False,
nána,10,"['lkfosf', 6, 'lveosf', 2, 'lheovf', 1, 'lheþvf', 1]",nana,3,"['nvens', 2, 'nveog', 1]",True,False,
bágar,1,"['lvfosf', 1]",bagar,1,"['sfg3en', 1]",True,False,
tánna,13,"['nvfeg', 13]",tanna,14,"['nvfe', 11, 'nkfe', 1, 'sfg3fn', 1, 'sng', 1]",True,False,
skáta,3,"['nkfo', 1, 'nkee', 1, 'nkfo', 1]",skata,6,"['nven', 6]",True,False,
álfarnir,17,"['nkfng', 17]",alfarnir,1,"['lkfnsf', 1]",True,False,
háðar,16,"['lvfnsf', 15, 'lvfosf', 1]",haðar,1,"['nkees', 1]",True,False,
álma,5,"['nven', 5]",alma,86,"['nvens', 86]",True,False,
láði,6,"['nheþ', 4, 'sfg3eþ', 2]",laði,2,"['svg3fn', 1, 'svg3en', 1]",True,False,
leikár,1,"['nheo', 1]",leikar,10,"['nkfn', 10]",True,False,
skár,11,"['aam', 10, 'lkensf', 1]",skar,102,"['sfg3eþ', 68, 'sfg1eþ', 21, 'nhen', 11, 'nheo', 2]",True,False,
stofnár,1,"['nheo', 1]",stofnar,17,"['sfg3en', 10, 'nkfn', 7]",True,False,
