Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical,Min freq
sök,180,"['nveo', 81, 'nveþ', 58, 'nven', 41]",sög,10,"['nveþ', 7, 'nven', 2, 'nveo', 1]",False,True,
kröfur,141,"['nvfo', 90, 'nvfn', 51]",gröfur,3,"['nvfn', 2, 'nvfo', 1]",False,True,
klæðast,37,"['snm', 27, 'sfm3fn', 10]",glæðast,3,"['snm', 2, 'sfm3fn', 1]",False,True,
kjósa,102,"['sng', 76, 'sfg3fn', 26]",gjósa,38,"['sng', 28, 'sfg3fn', 10]",False,True,
kærur,8,"['nvfo', 5, 'nvfn', 3]",gærur,7,"['nvfn', 5, 'nvfo', 2]",False,True,
ljúka,282,"['sng', 276, 'sfg3fn', 6]",ljúga,125,"['sng', 119, 'sfg3fn', 6]",False,True,
luku,19,"['sfg3fþ', 19]",lugu,5,"['sfg3fþ', 5]",False,True,
baukinn,9,"['nkeog', 9]",bauginn,2,"['nkeog', 2]",False,True,
kali,4,"['nheþ', 4]",gali,2,"['nheþ', 2]",False,True,
köflunum,8,"['nkfþg', 8]",göflunum,21,"['nkfþg', 21]",False,True,
kaflana,5,"['nkfog', 5]",gaflana,4,"['nkfog', 4]",False,True,
leikaranum,2,"['nkeþg', 2]",leigaranum,1,"['nkeþg', 1]",False,True,
lokarnir,1,"['nkfng', 1]",logarnir,23,"['nkfng', 23]",False,True,
freknum,5,"['nvfþ', 5]",fregnum,5,"['nvfþ', 5]",False,True,
knúðu,9,"['sfg3fþ', 9]",gnúðu,1,"['sfg3fþ', 1]",False,True,
takinu,61,"['nheþg', 61]",taginu,2,"['nheþg', 2]",False,True,
kalinu,2,"['nheþg', 2]",galinu,6,"['nheþg', 6]",False,True,
krefur,29,"['sfg3en', 29]",grefur,21,"['sfg3en', 21]",False,True,
lýk,11,"['sfg1en', 11]",lýg,10,"['sfg1en', 10]",False,True,
hakanum,14,"['nkeþg', 14]",haganum,2,"['nkeþg', 2]",False,True,
víkjum,5,"['sfg1fn', 5]",vígjum,1,"['sfg1fn', 1]",False,True,
sökina,13,"['nveog', 13]",sögina,2,"['nveog', 2]",False,True,
lukum,2,"['sfg1fþ', 2]",lugum,3,"['sfg1fþ', 3]",False,True,
örkuðu,12,"['sfg3fþ', 12]",örguðu,2,"['sfg3fþ', 2]",False,True,
klæddist,37,"['sfm3eþ', 37]",glæddist,2,"['sfm3eþ', 2]",False,True,
kulnað,3,"['ssg', 2, 'lhensf', 1]",gulnað,3,"['ssg', 2, 'lhensf', 1]",False,True,
kref,2,"['sfg1en', 2]",gref,6,"['sfg1en', 6]",False,True,
klæðst,16,"['ssm', 16]",glæðst,1,"['ssm', 1]",False,True,
kaflar,31,"['nkfn', 31]",gaflar,1,"['nkfn', 1]",False,True,
rakir,1,"['lkfnsf', 1]",ragir,1,"['lkfnsf', 1]",False,True,
kröfuna,7,"['nveog', 7]",gröfuna,4,"['nveog', 4]",False,True,
kusu,24,"['sfg3fþ', 16, 'nveo', 7, 'nveþ', 1]",gusu,9,"['nveo', 4, 'sfg3fþ', 3, 'nveþ', 2]",False,True,
kæruna,4,"['nveog', 4]",gæruna,1,"['nveog', 1]",False,True,
kredda,1,"['nven', 1]",gredda,1,"['nven', 1]",False,True,
lúkugatið,1,"['nheog', 1]",lúgugatið,2,"['nheog', 2]",False,True,
sikta,1,"['sng', 1]",sigta,2,"['sng', 2]",False,True,
orkuðu,6,"['sfg3fþ', 6]",orguðu,3,"['sfg3fþ', 3]",False,True,
hakana,1,"['nkfog', 1]",hagana,1,"['nkfog', 1]",False,True,
karminn,1,"['nkeog', 1]",garminn,2,"['nkeog', 2]",False,True,
körmum,2,"['nkfþ', 2]",görmum,2,"['nkfþ', 2]",False,True,
flakinu,9,"['nheþg', 9]",flaginu,2,"['nheþg', 2]",False,True,
krafan,16,"['nveng', 16]",grafan,2,"['nveng', 2]",False,True,
kaflarnir,2,"['nkfng', 2]",gaflarnir,4,"['nkfng', 4]",False,True,
lakinu,11,"['nheþg', 11]",laginu,154,"['nheþg', 154]",False,True,
þekja,17,"['sfg3fn', 8, 'sng', 8, 'nven', 1]",þegja,127,"['sng', 105, 'sfg3fn', 17, 'nven', 5]",False,True,
keimur,8,"['nken', 8]",geimur,9,"['nken', 9]",False,True,
klæddust,8,"['sfm3fþ', 8]",glæddust,2,"['sfm3fþ', 2]",False,True,
kallinu,9,"['nheþg', 9]",gallinu,1,"['nheþg', 1]",False,True,
sökuðu,4,"['sfg3fþ', 4]",söguðu,2,"['sfg3fþ', 2]",False,True,
kröfunni,4,"['nveþg', 4]",gröfunni,7,"['nveþg', 7]",False,True,
sökinni,8,"['nveþg', 8]",söginni,2,"['nveþg', 2]",False,True,
lúkunni,5,"['nveþg', 5]",lúgunni,13,"['nveþg', 13]",False,True,
lökin,4,"['nhfog', 2, 'nhfng', 2]",lögin,139,"['nhfog', 72, 'nhfng', 67]",False,True,
makanum,20,"['nkeþg', 20]",maganum,132,"['nkeþg', 132]",False,True,
rækir,2,"['sfg3en', 2]",rægir,2,"['sfg3en', 2]",False,True,
makans,5,"['nkeeg', 5]",magans,6,"['nkeeg', 6]",False,True,
makinn,21,"['nkeng', 21]",maginn,50,"['nkeng', 50]",False,True,
lúku,12,"['nveo', 10, 'nveþ', 2]",lúgu,6,"['nveo', 3, 'nveþ', 3]",False,True,
flaki,2,"['nheþ', 2]",flagi,3,"['nheþ', 3]",False,True,
kulnandi,3,"['slg', 3]",gulnandi,2,"['slg', 2]",False,True,
flyksum,1,"['nvfþ', 1]",flygsum,3,"['nvfþ', 3]",False,True,
kulnar,2,"['sfg3en', 2]",gulnar,1,"['sfg3en', 1]",False,True,
bakar,13,"['sfg3en', 13]",bagar,1,"['sfg3en', 1]",False,True,
makann,9,"['nkeog', 9]",magann,120,"['nkeog', 120]",False,True,
arkandi,2,"['slg', 2]",argandi,6,"['slg', 6]",False,True,
krönunum,1,"['nkfþg', 1]",grönunum,1,"['nkfþg', 1]",False,True,
klóru,1,"['nveo', 1]",glóru,8,"['nveo', 8]",False,True,
fraktskipum,2,"['nhfþ', 2]",fragtskipum,1,"['nhfþ', 1]",False,True,
kallana,6,"['nkfog', 6]",gallana,1,"['nkfog', 1]",False,True,
kæfunni,1,"['nveþg', 1]",gæfunni,1,"['nveþg', 1]",False,True,
kramdist,2,"['sfm3eþ', 2]",gramdist,15,"['sfm3eþ', 15]",False,True,
vokandi,3,"['slg', 3]",vogandi,1,"['slg', 1]",False,True,
bukta,1,"['sng', 1]",bugta,3,"['sng', 3]",False,True,
kestinum,2,"['nkeþg', 2]",gestinum,24,"['nkeþg', 24]",False,True,
ljúkum,4,"['sfg1fn', 4]",ljúgum,1,"['sfg1fn', 1]",False,True,
rakur,4,"['lkensf', 4]",ragur,3,"['lkensf', 3]",False,True,
kallarnir,30,"['nkfng', 30]",gallarnir,3,"['nkfng', 3]",False,True,
kerinu,9,"['nheþg', 9]",gerinu,4,"['nheþg', 4]",False,True,
tönkunum,2,"['nkfþg', 2]",töngunum,1,"['nkfþg', 1]",False,True,
flökraði,3,"['sfg3eþ', 3]",flögraði,30,"['sfg3eþ', 30]",False,True,
bauknum,4,"['nkeþg', 4]",baugnum,1,"['nkeþg', 1]",False,True,
vinkli,1,"['nkeþ', 1]",vingli,1,"['nkeþ', 1]",False,True,
kolunni,6,"['nveþg', 6]",golunni,25,"['nveþg', 25]",False,True,
víkjast,3,"['snm', 3]",vígjast,1,"['snm', 1]",False,True,
lúkuna,6,"['nveog', 6]",lúguna,13,"['nveog', 13]",False,True,
karmurinn,1,"['nkeng', 1]",garmurinn,6,"['nkeng', 6]",False,True,
baukurinn,2,"['nkeng', 2]",baugurinn,1,"['nkeng', 1]",False,True,
kæfuna,1,"['nveog', 1]",gæfuna,1,"['nveog', 1]",False,True,
keiminn,1,"['nkeog', 1]",geiminn,14,"['nkeog', 14]",False,True,
slökuðu,2,"['sfg3fþ', 2]",slöguðu,7,"['sfg3fþ', 7]",False,True,
kubbaðist,1,"['sfm3eþ', 1]",gubbaðist,1,"['sfm3eþ', 1]",False,True,
kaust,1,"['sfg2eþ', 1]",gaust,1,"['sfg2eþ', 1]",False,True,
kubbaði,1,"['sfg3eþ', 1]",gubbaði,5,"['sfg3eþ', 5]",False,True,
kremst,1,"['sfm3en', 1]",gremst,3,"['sfm3en', 3]",False,True,
flakari,1,"['nken', 1]",flagari,1,"['nken', 1]",False,True,
slakar,1,"['sfg3en', 1]",slagar,4,"['sfg3en', 4]",False,True,
flökrað,1,"['ssg', 1]",flögrað,4,"['ssg', 4]",False,True,
baukar,1,"['nkfn', 1]",baugar,5,"['nkfn', 5]",False,True,
kramist,1,"['ssm', 1]",gramist,4,"['ssm', 4]",False,True,
kolu,5,"['nveþ', 4, 'nveo', 1]",golu,10,"['nveþ', 8, 'nveo', 2]",False,True,
koluna,3,"['nveog', 3]",goluna,6,"['nveog', 6]",False,True,
flökrar,1,"['sfg3en', 1]",flögrar,14,"['sfg3en', 14]",False,True,
hváðu,1,"['sfg3fþ', 1]",kváðu,35,"['sfg3fþ', 35]",False,True,
hváðum,1,"['sfg1fþ', 1]",kváðum,1,"['sfg1fþ', 1]",False,True,
hviðanna,1,"['nvfeg', 1]",kviðanna,1,"['nvfeg', 1]",False,True,
hvikaði,4,"['sfg3eþ', 4]",kvikaði,1,"['sfg3eþ', 1]",False,True,
hlíðinni,50,"['nveþg', 50]",hliðinni,35,"['nveþg', 35]",False,True,
líminu,2,"['nheþg', 2]",liminu,1,"['nheþg', 1]",False,True,
sentímetrar,9,"['nkfn', 9]",sentimetrar,7,"['nkfn', 7]",False,True,
bolsévíkar,1,"['nkfn', 1]",bolsévikar,2,"['nkfn', 2]",False,True,
hlíðina,47,"['nveog', 47]",hliðina,477,"['nveog', 477]",False,True,
sentímetra,17,"['nkfe', 9, 'nkfo', 6, 'nkeo', 2]",sentimetra,15,"['nkfe', 7, 'nkfo', 7, 'nkeo', 1]",False,True,
hlíðarnar,15,"['nvfog', 10, 'nvfng', 5]",hliðarnar,15,"['nvfog', 11, 'nvfng', 4]",False,True,
týpískt,7,"['lhensf', 7]",týpiskt,2,"['lhensf', 2]",False,True,
múslíma,3,"['nkfe', 3]",múslima,2,"['nkfe', 2]",False,True,
refilstígum,2,"['nkfþ', 2]",refilstigum,2,"['nkfþ', 2]",False,True,
bolsévíkum,2,"['nkfþ', 2]",bolsévikum,1,"['nkfþ', 1]",False,True,
tíguleg,5,"['lvensf', 5]",tiguleg,1,"['lvensf', 1]",False,True,
stígar,5,"['nkfn', 5]",stigar,7,"['nkfn', 7]",False,True,
víki,3,"['svg3en', 3]",viki,2,"['svg3en', 2]",False,True,
týpískur,2,"['lkensf', 2]",týpiskur,1,"['lkensf', 1]",False,True,
indía,1,"['nvens', 1]",india,1,"['nvens', 1]",False,True,
sentímetrum,3,"['nkfþ', 3]",sentimetrum,3,"['nkfþ', 3]",False,True,
stígarnir,3,"['nkfng', 3]",stigarnir,5,"['nkfng', 5]",False,True,
hnípinn,9,"['lkensf', 9]",hnipinn,1,"['lkensf', 1]",False,True,
múslímar,5,"['nkfn', 5]",múslimar,1,"['nkfn', 1]",False,True,
múslími,2,"['nken', 2]",múslimi,6,"['nken', 6]",False,True,
úníformi,1,"['nheþ', 1]",úniformi,4,"['nheþ', 4]",False,True,
sentímetri,3,"['nken', 3]",sentimetri,1,"['nken', 1]",False,True,
norðurhlíðinni,1,"['nveþg', 1]",norðurhliðinni,1,"['nveþg', 1]",False,True,
bakað,33,"['ssg', 21, 'sþghen', 12]",bakkað,4,"['sþghen', 2, 'ssg', 2]",False,True,
roki,13,"['nheþ', 13]",rokki,1,"['nheþ', 1]",False,True,
rekanum,2,"['nkeþg', 2]",rekkanum,1,"['nkeþg', 1]",False,True,
rekann,6,"['nkeog', 6]",rekkann,1,"['nkeog', 1]",False,True,
rakarar,3,"['nkfn', 3]",rakkarar,1,"['nkfn', 1]",False,True,
bakaði,27,"['sfg3eþ', 24, 'sfg1eþ', 3]",bakkaði,29,"['sfg3eþ', 27, 'sfg1eþ', 2]",False,True,
jaki,6,"['nken', 6]",jakki,3,"['nken', 3]",False,True,
lokarnir,1,"['nkfng', 1]",lokkarnir,4,"['nkfng', 4]",False,True,
fríkuðu,1,"['sfg3fþ', 1]",fríkkuðu,1,"['sfg3fþ', 1]",False,True,
